Exchange,Token,LotSize,Symbol,TradingSymbol,Expiry,Instrument,OptionType,StrikePrice,TickSize,
BFO,871294,3000,ZEELOPT,ZEEL24JUN145CE,27-JUN-2024,OPTSTK,CE,145,0.05,
BFO,875877,3000,ZEELOPT,ZEEL24JUN142.5CE,27-JUN-2024,OPTSTK,CE,142.5,0.05,
BFO,871083,3000,ZEELOPT,ZEEL24JUN140CE,27-JUN-2024,OPTSTK,CE,140,0.05,
BFO,877555,3000,ZEELOPT,ZEEL24JUN137.5CE,27-JUN-2024,OPTSTK,CE,137.5,0.05,
BFO,872871,3000,ZEELOPT,ZEEL24JUN135CE,27-JUN-2024,OPTSTK,CE,135,0.05,
BFO,877384,3000,ZEELOPT,ZEEL24JUN132.5CE,27-JUN-2024,OPTSTK,CE,132.5,0.05,
BFO,872680,3000,ZEELOPT,ZEEL24JUN130CE,27-JUN-2024,OPTSTK,CE,130,0.05,
BFO,872414,3000,ZEELOPT,ZEEL24JUN127.5CE,27-JUN-2024,OPTSTK,CE,127.5,0.05,
BFO,874498,3000,ZEELOPT,ZEEL24JUN125CE,27-JUN-2024,OPTSTK,CE,125,0.05,
BFO,872238,3000,ZEELOPT,ZEEL24JUN122.5CE,27-JUN-2024,OPTSTK,CE,122.5,0.05,
BFO,874305,3000,ZEELOPT,ZEEL24JUN120CE,27-JUN-2024,OPTSTK,CE,120,0.05,
BFO,2008417,3000,ZEELOPT,ZEEL24JUN117.5CE,27-JUN-2024,OPTSTK,CE,117.5,0.05,
BFO,2200568,3000,ZEELOPT,ZEEL24JUN115CE,27-JUN-2024,OPTSTK,CE,115,0.05,
BFO,2025677,3000,ZEELOPT,ZEEL24JUN112.5CE,27-JUN-2024,OPTSTK,CE,112.5,0.05,
BFO,874934,3000,ZEELFUT,ZEEL24JUNFUT,27-JUN-2024,FUTSTK,XX,0,0.05,
BFO,2095761,1500,WIPROPT,WIPRO24JUN530PE,27-JUN-2024,OPTSTK,PE,530,0.05,
BFO,879989,1500,WIPROPT,WIPRO24JUN525PE,27-JUN-2024,OPTSTK,PE,525,0.05,
BFO,2210411,1500,WIPROPT,WIPRO24JUN520PE,27-JUN-2024,OPTSTK,PE,520,0.05,
BFO,872563,1500,WIPROPT,WIPRO24JUN515PE,27-JUN-2024,OPTSTK,PE,515,0.05,
BFO,872405,1500,WIPROPT,WIPRO24JUN510PE,27-JUN-2024,OPTSTK,PE,510,0.05,
BFO,874182,1500,WIPROPT,WIPRO24JUN505PE,27-JUN-2024,OPTSTK,PE,505,0.05,
BFO,874005,1500,WIPROPT,WIPRO24JUN500PE,27-JUN-2024,OPTSTK,PE,500,0.05,
BFO,875225,1500,WIPROPT,WIPRO24JUN495PE,27-JUN-2024,OPTSTK,PE,495,0.05,
BFO,875041,1500,WIPROPT,WIPRO24JUN490PE,27-JUN-2024,OPTSTK,PE,490,0.05,
BFO,876741,1500,WIPROPT,WIPRO24JUN485PE,27-JUN-2024,OPTSTK,PE,485,0.05,
BFO,876567,1500,WIPROPT,WIPRO24JUN480PE,27-JUN-2024,OPTSTK,PE,480,0.05,
BFO,871561,1500,WIPROPT,WIPRO24JUN475PE,27-JUN-2024,OPTSTK,PE,475,0.05,
